id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,mean_arm_plddt,min_arm_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm_soft,pass_all,rank,panel_selected
fusion_s967366m11_s694877m7_v7,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,153,51.53,83.08,67.31,51.53,34.53,20.77,0.56,False,True,True,False,False,,False
fusion_s967366m11_s694877m7_v6,ab42_l82_s967366_mpnn11,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,148,51.24,83.27,67.25,51.24,35.55,20.45,0.58,False,True,True,False,False,,False
fusion_s967366m11_s938332m1_v8,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,160,67.02,67.38,67.2,67.02,35.33,18.8,0.46,False,False,True,False,False,,False
fusion_s311742m16_s422992m5_v7,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,180,53.89,79.63,66.76,53.89,35.7,14.51,0.64,False,False,False,True,False,,False
fusion_s311742m16_s422992m5_v10,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,165,54.26,76.92,65.59,54.26,43.1,17.47,0.6,False,False,True,False,False,,False
fusion_s311742m16_s422992m5_v8,ab42_l90_s311742_mpnn16,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,185,51.42,77.72,64.57,51.42,35.81,15.69,0.61,False,False,True,True,False,,False
fusion_s967366m11_s938332m1_v7,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,155,59.61,66.9,63.26,59.61,33.21,18.27,0.48,False,False,True,False,False,,False
fusion_s311742m16_s938332m1_v6,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,158,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s938332m1_v7,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,163,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s938332m1_v8,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,168,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s938332m1_v9,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,160,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s938332m1_v10,ab42_l90_s311742_mpnn16,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,148,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v5,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v6,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v7,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v8,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v9,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s255454m5_v10,ab42_l90_s311742_mpnn16,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v1,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v2,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v3,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v4,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v5,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v6,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v7,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v8,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v9,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s311742m16_s694877m7_v10,ab42_l90_s311742_mpnn16,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v1,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,146,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v2,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,151,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v3,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,156,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v4,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,148,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v5,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,136,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v6,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,146,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v7,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,151,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v8,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,156,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v9,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,148,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s766452m12_v10,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,136,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v1,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v2,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v3,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v4,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v5,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v6,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,156,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v7,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,161,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v8,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,166,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v9,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,158,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s422992m5_v10,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,146,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v1,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v2,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,144,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v3,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,149,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v4,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,141,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v5,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,129,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v6,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v7,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,144,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v8,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,149,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v9,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,141,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s938332m1_v10,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,129,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,137,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v2,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,142,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,147,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v5,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,127,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,137,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v7,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,142,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v8,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,147,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v9,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s255454m5_v10,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,127,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v1,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,137,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v2,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,142,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,147,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v5,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,127,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,137,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v7,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,142,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v8,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,147,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v9,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,139,,,,,,,,False,False,False,False,False,,False
fusion_s843399m18_s694877m7_v10,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,127,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v1,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,157,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v2,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,162,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v3,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,167,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v4,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,159,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v5,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,147,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v6,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,157,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v7,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,162,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v8,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,167,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v9,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,159,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s766452m12_v10,ab42_l82_s480128_mpnn17,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,147,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v1,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,167,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v2,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,172,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v3,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,177,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v4,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,169,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v5,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,157,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v6,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,167,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v7,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,172,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v8,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,177,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v9,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,169,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s422992m5_v10,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,157,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v1,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v2,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,155,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v3,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,160,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v4,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,152,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v5,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,140,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v6,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v7,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,155,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v8,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,160,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v9,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,152,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s938332m1_v10,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,140,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v1,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,148,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v2,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,153,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v3,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,158,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v4,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v5,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v5,PAPAP,5,138,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v6,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,148,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v7,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v7,GS4,20,153,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v8,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v8,GS5,25,158,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v9,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v9,EAAAK,17,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s255454m5_v10,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,tfr1-ab,v10,PAPAP,5,138,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v1,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v1,GS3,15,148,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v2,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v2,GS4,20,153,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v3,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,158,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v4,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v4,EAAAK,17,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v5,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,ab-tfr1,v5,PAPAP,5,138,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v6,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v6,GS3,15,148,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v7,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v7,GS4,20,153,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v8,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v8,GS5,25,158,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v9,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,150,,,,,,,,False,False,False,False,False,,False
fusion_s480128m17_s694877m7_v10,ab42_l82_s480128_mpnn17,tfr1_l51_s694877_mpnn7,tfr1-ab,v10,PAPAP,5,138,,,,,,,,False,False,False,False,False,,False
